ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
CBRS,2026-06-09 19:10:15.440568+00:00,CALL,230.0,2026-06-26,1115000,500,761,174,228.94,FLOORTRADELARGECAP,False,True,False,0,1115000,14330000000.0,17,BID,SHORT,0.5
NVDA,2026-06-09 19:08:29.445926+00:00,CALL,215.0,2027-12-17,12604800,2626,5238,2298,207.145,REPEATEDHITS,False,False,False,4608000,2812800,5049088000000.0,556,ASK,LONG,1.0
GEV,2026-06-09 19:08:16.436992+00:00,CALL,1190.0,2026-09-18,896011,320,322,170,918.8634,REPEATEDHITSASCENDINGFILL,True,False,False,5610,890401,250944167331.0,101,BID,SHORT,0.5
ARKG,2026-06-09 19:07:03.359125+00:00,PUT,35.0,2026-07-17,14062500,37500,37501,12,33.47,LOWHISTORICVOLUMEFLOOR,False,True,True,14062500,0,1374919000.0,38,ASK,SHORT,1.0
AVGO,2026-06-09 19:04:59.252500+00:00,CALL,410.0,2027-12-17,15531600,1529,1533,564,392.31,REPEATEDHITSASCENDINGFILL,True,False,False,7516470,8015130,1877769401774.0,556,BID,SHORT,0.5
SPY,2026-06-09 19:04:24.013172+00:00,CALL,725.0,2026-06-10,516306,399,7949,27,737.265,REPEATEDHITS,True,False,False,0,414080,739.261165,1,BID,SHORT,0.5
MU,2026-06-09 19:02:10.060456+00:00,CALL,907.5,2026-06-12,675515,167,1341,97,907.2255,REPEATEDHITS,False,False,False,303375,347870,1070535379933.0,3,BID,SHORT,0.5
ALAB,2026-06-09 18:59:47.052924+00:00,CALL,330.0,2026-06-18,578205,200,656,183,337.205,REPEATEDHITSASCENDINGFILL,False,False,False,2890,575315,59363711514.0,9,BID,SHORT,0.5
IONQ,2026-06-09 18:56:25.624430+00:00,PUT,55.0,2026-08-21,583295,603,3453,540,56.62,REPEATEDHITSDESCENDINGFILL,True,False,False,505430,77865,23441352734.0,73,ASK,SHORT,1.0
IONQ,2026-06-09 18:56:05.152287+00:00,PUT,55.0,2026-08-21,545945,569,2249,540,56.665,REPEATEDHITSDESCENDINGFILL,True,False,False,480955,61150,23441352734.0,73,ASK,SHORT,1.0
IONQ,2026-06-09 18:55:49.333884+00:00,PUT,55.0,2026-08-21,543990,570,1082,540,56.69,REPEATEDHITSDESCENDINGFILL,False,False,False,543990,0,23441352734.0,73,ASK,SHORT,1.0
GS,2026-06-09 18:55:36.926217+00:00,CALL,1057.5,2026-06-26,637870,315,315,0,1030.1,REPEATEDHITS,False,False,False,637870,0,308282754945.0,17,ASK,LONG,1.0
ARM,2026-06-09 18:47:07.228806+00:00,CALL,350.0,2026-07-24,1337829,431,918,6,319.585,REPEATEDHITSASCENDINGFILL,True,False,False,15545,1322284,368578098740.0,45,BID,SHORT,0.5
DOCN,2026-06-09 18:40:43.245737+00:00,PUT,170.0,2026-10-16,966432,249,249,40,167.4084,REPEATEDHITSASCENDINGFILL,False,False,False,7800,958632,17670943127.0,129,BID,LONG,0.5
GOOGL,2026-06-09 18:37:51.828117+00:00,CALL,405.0,2027-12-17,12509840,2008,2008,203,365.735,REPEATEDHITS,False,False,False,12460000,49840,2115917440000.0,556,ASK,LONG,1.0
QQQ,2026-06-09 18:34:45.931363+00:00,CALL,709.0,2026-06-10,658460,1606,26455,148,705.37,REPEATEDHITS,False,False,False,658460,0,475179740457.0,1,ASK,LONG,1.0
LITE,2026-06-09 18:34:27.904055+00:00,PUT,830.0,2026-12-18,1374000,60,64,15,822.29,REPEATEDHITS,False,False,False,1374000,0,69662120000.0,192,ASK,SHORT,1.0
QQQ,2026-06-09 18:33:21.006836+00:00,PUT,690.0,2026-06-23,518960,520,6090,0,704.69,REPEATEDHITS,False,False,False,250498,147704,475179740457.0,14,ASK,SHORT,1.0
COHR,2026-06-09 18:26:30.966794+00:00,CALL,640.0,2026-09-18,809230,476,483,1,354.925,REPEATEDHITSASCENDINGFILL,False,False,False,1720,807510,78633312290.0,101,BID,SHORT,0.5
QQQ,2026-06-09 18:26:30.966794+00:00,CALL,703.0,2026-06-17,867750,650,2025,5,703.255,REPEATEDHITS,False,False,False,280350,534000,475179740457.0,8,BID,SHORT,0.5
QQQ,2026-06-09 18:26:17.517716+00:00,CALL,700.0,2026-06-10,659200,800,27988,133,703.6,REPEATEDHITS,False,False,False,32960,626240,475179740457.0,1,BID,SHORT,0.5
QQQ,2026-06-09 18:20:50.297036+00:00,CALL,703.0,2026-06-17,1347960,1000,1017,5,703.395,REPEATEDHITSDESCENDINGFILL,False,False,False,1347960,0,475179740457.0,8,ASK,LONG,1.0
CNC,2026-06-09 18:18:15.680867+00:00,PUT,70.0,2026-09-18,654051,739,739,1,65.755,REPEATEDHITSASCENDINGFILL,False,False,False,0,654051,32111618910.0,101,BID,LONG,0.5
META,2026-06-09 18:11:49.530533+00:00,CALL,585.0,2026-07-17,1615040,551,1700,356,588.71,REPEATEDHITSDESCENDINGFILL,True,False,False,87790,1175650,1285543126759.0,38,BID,SHORT,0.5
KLAC,2026-06-09 18:08:06.567061+00:00,CALL,1980.0,2026-09-18,3754799,105,105,76,2089.62,REPEATEDHITS,False,False,False,3754799,0,275370651919.0,101,ASK,LONG,1.0
META,2026-06-09 17:58:44.499875+00:00,CALL,585.0,2026-07-17,2955000,1000,1147,356,589.225,REPEATEDHITS,False,False,False,0,2955000,1285543126759.0,38,BID,SHORT,0.5
SPY,2026-06-09 17:53:01.117353+00:00,CALL,712.0,2026-07-10,615680,208,485,0,732.87,REPEATEDHITS,False,False,False,615680,0,739.261165,31,ASK,LONG,1.0
QQQ,2026-06-09 17:50:45.748408+00:00,CALL,700.0,2026-06-09,610675,2413,243249,102,699.54,REPEATEDHITSDESCENDINGFILL,True,False,False,164466,446209,475179740457.0,0,BID,SHORT,0.5
IWM,2026-06-09 17:48:29.165832+00:00,PUT,267.0,2026-07-17,1376358,3440,33810,2168,282.23,REPEATEDHITSDESCENDINGFILL,False,False,False,0,1376358,76844863080.0,38,BID,LONG,0.5
IWM,2026-06-09 17:48:29.165832+00:00,PUT,267.0,2026-07-17,1298201,3238,37048,2168,282.23,REPEATEDHITSDESCENDINGFILL,False,False,False,0,1298201,76844863080.0,38,BID,LONG,0.5
MU,2026-06-09 17:47:57.520399+00:00,PUT,905.0,2026-07-02,5095000,500,526,42,896.42,REPEATEDHITS,False,False,False,4483600,611400,1070535379933.0,23,ASK,SHORT,1.0
NBIS,2026-06-09 17:46:11.070497+00:00,CALL,187.5,2026-06-12,780737,280,356,75,212.74,REPEATEDHITSDESCENDINGFILL,True,False,False,383670,397067,47843389184.0,3,BID,SHORT,0.5
NBIS,2026-06-09 17:46:11.070497+00:00,CALL,185.0,2026-06-12,1297065,427,434,63,212.8825,REPEATEDHITSDESCENDINGFILL,True,False,False,547100,749965,47843389184.0,3,BID,SHORT,0.5
ADBE,2026-06-09 17:45:13.763336+00:00,CALL,210.0,2028-01-21,818900,108,110,59,236.83,REPEATEDHITSDESCENDINGFILL,False,False,False,508530,310370,99024958000.0,591,ASK,LONG,1.0
QQQ,2026-06-09 17:37:50.704555+00:00,PUT,690.0,2026-06-23,570631,501,5352,0,701.11,REPEATEDHITSDESCENDINGFILL,False,False,False,561543,9088,475179740457.0,14,ASK,SHORT,1.0
QQQ,2026-06-09 17:35:14.846494+00:00,PUT,690.0,2026-06-23,587961,500,4823,0,700.3699,REPEATEDHITSDESCENDINGFILL,False,False,False,284413,303548,475179740457.0,14,BID,LONG,0.5
SNDK,2026-06-09 17:33:04.829884+00:00,PUT,1730.0,2026-06-12,2683099,200,858,94,1640.09,REPEATEDHITS,True,False,False,2683099,0,243163382636.0,3,ASK,SHORT,1.0
IWM,2026-06-09 17:31:58.935530+00:00,PUT,267.0,2026-07-17,1226634,3000,30356,2168,282.05,REPEATEDHITSASCENDINGFILL,False,False,False,1226634,0,76844863080.0,38,ASK,SHORT,1.0
QQQ,2026-06-09 17:28:38.916987+00:00,CALL,700.0,2026-06-09,1177501,4710,193058,102,699.32,REPEATEDHITS,False,False,False,24001,0,475179740457.0,0,ASK,LONG,1.0
MRVL,2026-06-09 17:27:05.990635+00:00,CALL,290.0,2026-07-24,1040875,405,475,258,256.06,REPEATEDHITS,False,False,False,1022885,15420,252685980000.0,45,ASK,LONG,1.0
ARM,2026-06-09 17:22:12.157537+00:00,PUT,290.0,2026-06-18,637520,613,913,454,316.875,REPEATEDHITS,False,False,False,637520,0,368578098740.0,9,ASK,SHORT,1.0
COHR,2026-06-09 17:21:42.898714+00:00,PUT,375.0,2026-06-18,911340,249,265,46,353.65,REPEATEDHITS,False,False,False,36600,0,78633312290.0,9,ASK,SHORT,1.0
SPY,2026-06-09 17:20:29.552228+00:00,CALL,710.0,2026-10-16,1252420,260,262,55,730.29,REPEATEDHITS,False,False,False,1252420,0,739.261165,129,ASK,LONG,1.0
EXE,2026-06-09 17:46:03.260508+00:00,PUT,90.0,2028-01-21,92220,58,100,45,88.725,REPEATEDHITS,False,False,False,41340,50880,21631072527.0,591,BID,LONG,0.5
EXE,2026-06-09 14:06:37.065615+00:00,PUT,80.0,2026-09-18,8682050,35150,35150,378,89.77,LOWHISTORICVOLUMEFLOOR,False,True,True,0,8682050,21631072527.0,101,BID,LONG,0.5
EXE,2026-06-05 15:52:38.859449+00:00,PUT,85.0,2026-09-18,93760,293,293,125,92.675,REPEATEDHITS,False,False,False,89280,4160,21631072527.0,105,ASK,SHORT,1.0
EXE,2026-06-05 15:14:46.692744+00:00,PUT,100.0,2026-09-18,145800,135,179,98,92.91,REPEATEDHITS,False,False,False,0,145800,21631072527.0,105,BID,LONG,0.5
EXE,2026-06-05 14:51:03.336288+00:00,CALL,100.0,2026-09-18,65190,159,160,128,92.89,REPEATEDHITS,False,False,False,65190,0,21631072527.0,105,ASK,LONG,1.0
EXE,2026-06-03 19:01:37.576130+00:00,CALL,90.0,2026-06-18,19655,63,189,12,91.34,REPEATEDHITSDESCENDINGFILL,False,False,False,0,16555,21631072527.0,15,BID,SHORT,0.5
