ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
TSLA,2026-04-17 14:57:05.602656+00:00,CALL,412.5,2026-04-20,133500,500,3584,360,405.045,REPEATEDHITS,False,False,133500,0,1459320798578.0,3,ASK,LONG,1.0
AMZN,2026-04-17 14:57:05.602656+00:00,CALL,260.0,2026-08-21,1012275,495,28641,50537,254.83,REPEATEDHITS,False,False,0,1012275,2680509741239.0,126,BID,SHORT,0.5
SQQQ,2026-04-17 14:57:02.998001+00:00,CALL,70.0,2026-05-15,23730,226,903,1624,56.355,REPEATEDHITS,True,False,23730,0,58.5616,28,ASK,LONG,1.0
MSTR,2026-04-17 14:57:02.998001+00:00,PUT,165.0,2026-04-17,13000,200,13069,1496,171.105,REPEATEDHITS,False,False,13000,0,46783909495.0,0,ASK,SHORT,1.0
TSLA,2026-04-17 14:57:00.793519+00:00,PUT,405.0,2026-04-20,104840,200,5957,94,405.235,REPEATEDHITSASCENDINGFILL,False,False,104840,0,1459320798578.0,3,ASK,SHORT,1.0
AFRM,2026-04-17 14:56:59.788601+00:00,CALL,70.0,2026-05-15,108750,250,715,1085,65.45,REPEATEDHITS,False,False,12615,13050,17626467325.0,28,BID,SHORT,0.5
XBI,2026-04-17 14:56:58.185238+00:00,CALL,144.0,2026-06-18,42000,100,203,0,138.42,REPEATEDHITS,False,False,0,38220,135.47234,62,BID,SHORT,0.5
CRDO,2026-04-17 14:56:55.580813+00:00,PUT,165.0,2026-05-22,11200,5,11,25,153.575,REPEATEDHITS,False,False,0,11200,29314628964.0,35,BID,LONG,0.5
ROK,2026-04-17 14:56:55.580813+00:00,CALL,410.0,2026-04-17,364800,456,1319,1978,416.97,REPEATEDHITS,False,False,0,23200,45258888921.0,0,BID,SHORT,0.5
QQQ,2026-04-17 14:56:53.172778+00:00,CALL,650.0,2026-04-17,302709,3250,161328,17790,648.72,REPEATEDHITSDESCENDINGFILL,True,False,23742,277345,414247608516.0,0,BID,SHORT,0.5
ROK,2026-04-17 14:56:53.172778+00:00,CALL,410.0,2026-04-17,600000,750,836,1978,416.37,FLOORTRADELARGECAP,False,True,600000,0,45258888921.0,0,ASK,LONG,1.0
SOXS,2026-04-17 14:56:53.172778+00:00,CALL,21.0,2026-04-24,11160,200,2367,485,19.19,REPEATEDHITSASCENDINGFILL,False,False,11160,0,1623328824.0,7,ASK,LONG,1.0
CNC,2026-04-17 14:56:53.172778+00:00,PUT,35.0,2026-05-15,26460,294,295,1392,39.0,REPEATEDHITS,False,False,0,26460,19179069000.0,28,BID,LONG,0.5
QQQ,2026-04-17 14:56:51.568555+00:00,PUT,645.0,2026-05-15,147625,125,9474,920,648.78,REPEATEDHITS,False,False,0,147625,414247608516.0,28,BID,LONG,0.5
