ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol
OKTA,LONG,0.6910354591946926,6.910354591946925,0.0,4.1462,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,60261.46312125797,15.0,1.0,1.3944226707566185,0.002364,0.003239,78274.85027743035,28067.11763907214,2.54987,1.846308,0.0,1.0,0.506149,0.626186,,,,,,
GOOGL,LONG,0.6883566114493204,6.883566114493203,0.0,4.1301,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.8625340862883083,29.0,1.0,18.533034513574908,0.001494,7.8e-05,373397.58965321246,271993.6369095994,1.470899,4.243188,5.0,1.0,0.900658,0.091392,0.0,0.63,0.0,0.0,0.0,0.0
CIEN,LONG,0.6669416041136974,6.669416041136974,5.33,6.3137,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.9,NEUTRAL,trend_continuation,,,450.0,250.0,10.88,38.4,27254.0,19590.0,0.719,19985.0,11723.0,15136.0,4565439.045355736,4.0,1.0,99.0,0.0011,0.0,181853.52194803936,0.0,4.15161,,1.0,0.0,4e-06,0.0,2.04,0.04,0.0,1.4,1.6,0.25
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.204485230618324,11.0,1.0,99.0,0.00252,9.7e-05,1.8926888018274544,0.0049322015496063585,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.75,0.0,0.0,0.0,0.0
RBLX,LONG,0.6415032277105337,6.415032277105337,0.0,3.849,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,7355.094272652942,12.0,1.0,99.0,0.003187,0.003979,14365.10623279942,2.511799269350309,15.414206,0.920707,1.0,0.0,2.6e-05,0.812829,,,,,,
BA,LONG,0.6343300865506244,6.343300865506244,0.0,3.806,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,3929.446106822569,13.0,1.0,0.8228789532881055,0.001793,0.000367,4443.466979193999,8639.845676331464,3.510413,0.544513,3.0,2.0,0.002437,0.497577,0.0,0.0,0.0,0.0,0.0,0.0
VST,LONG,0.6175344427579965,6.175344427579965,0.0,3.7052,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,1150942.628930925,8.0,1.0,99.0,0.001034,0.000132,34335.94375600772,0.08955792913802262,2.476883,0.646526,0.0,1.0,0.472882,0.0,0.0,0.42,0.0,0.0,0.0,0.0
META,LONG,0.6090813689642509,6.090813689642509,0.0,3.6545,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,14.061136672710251,8.0,1.0,15.476056039638436,0.000343,5.8e-05,381181.4813871987,41050.66997376335,6.079949,0.41062,1.0,0.0,0.126053,0.334869,0.0,0.19,0.0,0.0,0.0,0.0
SILJ,LONG,0.6048130034013457,6.048130034013457,0.0,3.6289,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,3553.8338604927603,6.0,1.0,99.0,0.001954,0.000366,19345.92002279958,5.973278032245791,3.399952,0.081774,0.0,0.0,0.000572,0.366231,0.0,0.0,0.0,0.0,0.0,0.0
PRAX,LONG,0.601436090800026,6.01436090800026,0.0,3.6086,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,2.0,1.0,99.0,0.002648,0.0,136731.53614272602,0.0,40.0,,2.0,0.0,0.468206,0.0,0.0,0.8,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.007746,0.0,313004.01679919555,0.0,100.671141,,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0
NVDL,LONG,0.5926157869859715,5.926157869859715,0.0,3.5557,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,330059.3350117175,3.0,1.0,99.0,0.000644,0.000153,139579.19636024084,23.31938032357562,300.0,2.380952,1.0,0.0,3e-06,0.0,0.0,0.45,0.0,0.0,0.0,0.0
GLNG,LONG,0.5917096439062286,5.917096439062286,0.0,3.5503,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,1.4538643982723358,13.0,1.0,1.1593779337374175,0.003542,0.002252,19.041146068835456,10.264742795870308,16.43556,0.874732,1.0,4.0,0.644133,0.827428,0.0,0.0,0.0,0.0,0.0,0.0
OXY,LONG,0.5864851736223262,5.864851736223262,0.0,3.5189,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,442.3681904355922,29.0,1.0,3.5577142185031976,0.005699,0.000187,7446.129267697531,28254.867856195775,0.396722,0.358177,0.0,0.0,0.384099,0.000759,0.0,0.0,0.0,0.0,0.0,0.0
DAL,LONG,0.584560641140649,5.845606411406489,0.0,3.5074,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,3593.043185984209,13.0,1.0,99.0,0.0008,0.000741,129491.09755982137,14.210274742343827,1.769263,0.321773,0.0,5.0,0.65971,0.769238,,,,,,
LMT,LONG,0.5756260111556194,5.756260111556194,0.0,3.4538,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,1.0483596135644744,12.0,1.0,0.6629420737344236,0.000473,0.000571,31029.96902349997,140419.3680846269,66.399306,120.166667,2.0,0.0,0.702742,0.230338,,,,,,
UNH,LONG,0.5684306417875263,5.684306417875264,0.0,3.4106,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,265374.3066507136,11.0,1.0,0.4948128831998811,0.00035,0.000701,238866.72478084776,107275.8939752616,58.362683,9.720047,1.0,1.0,9e-06,0.204596,,,,,,
AAPL,LONG,0.5671723836508414,5.671723836508415,0.0,3.403,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,1.3454748849480254,28.0,1.0,2.5244034193462226,0.000326,0.000139,180191.02467961577,95172.86251935235,1.704054,0.306941,1.0,1.0,0.889575,0.843226,0.0,0.51,0.0,0.0,0.0,0.0
EXPE,LONG,0.5537466572736567,5.537466572736567,4.78,5.4427,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, trend_aligned","confirmation_volume, room_to_target",6.2,NEUTRAL,ema_pullback,,,270.0,230.0,13.01,3.73,28289.0,29894.0,1.057,16914.0,15325.0,25944.0,16.757831371603515,12.0,1.0,3.1091618744429925,0.001133,0.000304,0.36565052605328036,0.23520842003042172,1.824572,2.47538,1.0,2.0,0.772496,0.009915,1.7,0.74,0.16,1.2,0.98,0.0
