ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol
OKTA,LONG,0.6998008220706867,6.9980082207068675,0.0,4.1988,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,60260.75328769111,16.0,1.0,1.394422670294019,0.002364,0.003336,97103.7393291888,31653.28868480228,2.54987,1.763832,0.0,2.0,0.506149,0.626186,,,,,,
GOOGL,LONG,0.693815191852271,6.93815191852271,0.0,4.1629,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.8670798600305826,27.0,1.0,18.136363619299328,0.001465,7.8e-05,489567.584460207,337421.26780258113,1.582214,4.243188,5.0,1.0,0.898486,0.091392,0.0,0.79,0.0,0.0,0.0,0.0
CIEN,LONG,0.6708094598377494,6.708094598377494,5.52,6.39,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.9,NEUTRAL,trend_continuation,,,450.0,250.0,12.06,37.75,27254.0,19590.0,0.719,19985.0,11723.0,15136.0,4565439.045355743,4.0,1.0,99.0,0.0011,0.0,225598.09349682013,0.0,4.15161,,1.0,0.0,4e-06,0.0,2.04,0.11,0.06,1.4,1.48,0.44
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.204485230618246,11.0,1.0,99.0,0.00252,9.7e-05,2.3479720420100305,0.006118634681439862,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.72,0.0,0.0,0.0,0.0
BA,LONG,0.6428795933746126,6.428795933746127,0.0,3.8573,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,2157.7797174101515,12.0,1.0,0.0020054547672038936,0.001768,0.000367,15.353398747593323,10718.14662596441,3.933364,0.544513,3.0,2.0,0.420727,0.497577,0.0,0.0,0.0,0.0,0.0,0.0
VST,LONG,0.6262996767288991,6.262996767288991,0.0,3.7578,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,1150942.6289309242,8.0,1.0,99.0,0.001034,0.000132,42595.39967547437,0.11110094462088067,2.476883,0.646526,0.0,1.0,0.472882,0.0,0.0,0.41,0.0,0.0,0.0,0.0
SILJ,LONG,0.6132567259197494,6.1325672591974945,0.0,3.6795,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,44881.404463067236,7.0,1.0,99.0,0.00217,0.000366,19199.752797043075,7.410140433717448,2.795005,0.081774,0.0,0.0,0.000578,0.366231,0.0,0.0,0.0,0.0,0.0,0.0
LMT,LONG,0.6083298146220474,6.083298146220474,0.0,3.65,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,1.2005552021814874,13.0,1.0,0.6629420743349838,0.000538,0.000571,34644.76027677853,174197.02071522953,60.041193,120.166667,2.0,0.0,0.702742,0.230338,,,,,,
NVDL,LONG,0.601381194105417,6.01381194105417,0.0,3.6083,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,330059.3350117174,3.0,1.0,99.0,0.000644,0.000153,173154.74703693594,28.92881966855221,300.0,2.380952,1.0,0.0,3e-06,0.0,0.0,0.41,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.007746,0.0,388296.628464096,0.0,100.671141,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
