ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DELL,LONG,0.8862741125420801,8.8627411254208,0.0,5.3176,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,63.90696830913914,22.0,1.0,99.0,0.002623,0.00014,124299.65932497957,3814.9704209880542,10.267465,8.185694,6.0,0.0,0.50675,0.618741,,,,
HII,LONG,0.7675381408768542,7.675381408768542,0.0,4.6052,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.282970017284134,13.0,1.0,0.7168606880108442,0.00333,0.004631,103999.37002190191,124350.96337753384,2.655894,3.131993,0.0,5.0,0.782224,0.280663,,,,
SATS,LONG,0.7532518111236354,7.532518111236354,5.54,6.8483,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned",room_to_target,7.1,NEGATIVE,support_ema_confluence,-2581982.2,111.75,150.0,85.0,34.23,23.94,271325.0,115938.0,0.427,74515.0,122173.0,190575.0,,,1.53,0.99,0.13,1.6,0.74,0.56,3.4196179376799622,9.0,1.0,0.43979312411591226,0.00581,0.001409,64681.95476493852,117658.87408078874,3.519953,4.97167,0.0,1.0,0.508175,0.403244,,,,
KWEB,LONG,0.7454687308937319,7.454687308937319,0.0,4.4728,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.538318153088183,16.0,1.0,49.40814653541182,0.001423,0.00022,14031.436888047687,1230.624855315334,2.27524,0.801969,8.0,1.0,0.66406,0.15613,,,,
GDX,LONG,0.686766571897026,6.86766571897026,0.0,4.1206,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.15,0.0,0.0,0.0,0.0,3.671361092863585,10.0,1.0,1.7650266143799929,0.000508,0.000228,128405.06616043458,169749.1803239804,6.36366,0.322085,2.0,0.0,0.575436,0.433614,,,,
INTU,LONG,0.6669726841170622,6.669726841170622,0.0,4.0018,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.83,0.0,0.0,0.0,0.0,1.4906827900819044,18.0,1.0,3.2345139262046385,0.001681,0.000125,14623.90558693357,15824.222965806222,8.818829,0.750827,2.0,2.0,0.729306,0.180985,,,,
FIG,LONG,0.6659729494903776,6.659729494903775,0.0,3.9958,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.08,0.0,0.0,0.0,0.0,301.99587407592657,5.0,1.0,99.0,0.001584,0.0,44793.063059091815,0.0,181.983051,,0.0,0.0,0.506257,0.0,,,,
CTRA,LONG,0.6641917981428135,6.641917981428135,0.0,3.9852,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,56.641971419652236,2.0,1.0,99.0,0.006972,0.0,28562.643011965574,0.0,134.233264,,0.0,0.0,0.017348,0.0,,,,
UVIX,LONG,0.6282286086886444,6.282286086886444,6.22,5.8471,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",4.2,POSITIVE,retest_and_confirm,1062168.72,8.88,10.0,5.0,12.04,43.98,188737.0,100413.0,0.532,170899.0,64249.0,54002.0,,,2.53,0.53,0.0,1.4,1.45,0.31,907.9150069874211,4.0,1.0,99.0,0.001903,8.7e-05,272798.45639438165,148.02859603958728,1.853419,0.408163,1.0,0.0,0.013233,0.0,,,,
PDD,LONG,0.619085451524948,6.19085451524948,0.0,3.7145,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,5.5973067050744305,15.0,1.0,0.4219710180559779,0.003394,0.002063,6503.048711916008,17612.71592774466,1.553771,1.408632,2.0,5.0,0.464464,0.275178,,,,
