ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DELL,LONG,0.8608289110575265,8.608289110575264,0.0,5.165,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.361914035419686,21.0,1.0,39.69554727263899,0.003532,0.000542,203623.99040659022,30777.85863609077,11.686727,0.501765,5.0,1.0,0.737224,0.623535,,,,
ETSY,LONG,0.8199676330819468,8.199676330819468,0.0,4.9198,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.32,0.0,0.0,0.0,0.0,9.779833038164,8.0,1.0,4.883734145254496,0.005071,0.000676,53359.67176837217,76481.98924618999,30.160531,0.519264,3.0,0.0,0.466745,0.0,,,,
GFS,LONG,0.7995084492630682,7.995084492630681,6.38,7.4115,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,7.5,NEUTRAL,support_ema_confluence,,,55.0,45.0,19.36,2.34,74408.0,18260.0,0.245,65335.0,195.0,27138.0,1.57,0.7,0.58,1.6,1.71,0.22,5.549877728719524,5.0,1.0,99.0,0.004833,0.0,109517.36711090329,0.0,128.15,,1.0,0.0,0.530286,0.0,,,,
PDD,LONG,0.7585983272051762,7.585983272051761,0.0,4.5516,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,1033712.5752943776,21.0,1.0,99.0,0.002895,0.00196,161693.1487891343,0.3482901355879812,3.683762,0.492595,2.0,4.0,0.053914,0.818408,,,,
XOP,LONG,0.7019718843918619,7.019718843918619,0.0,4.2118,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.034655439000815,7.0,1.0,99.0,0.00081,0.0,70389.44654006908,0.0,12.877517,,2.0,0.0,0.694736,0.0,,,,
IEF,LONG,0.6802846434562423,6.802846434562423,0.0,4.0817,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.503968532315723,9.0,1.0,99.0,0.001309,0.0,103473.18688669191,0.0,0.524569,,6.0,0.0,0.705342,0.0,,,,
GLNG,LONG,0.6427568201592864,6.427568201592864,0.0,3.8565,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7399.69962413958,13.0,1.0,99.0,0.003246,0.002122,7587.661805650004,0.41565500226129193,16.678867,0.874732,2.0,4.0,0.000102,0.827428,,,,
MDB,LONG,0.6425731729004296,6.425731729004296,0.0,3.8554,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.24,0.0,0.0,0.0,0.0,65.15751292909643,9.0,1.0,99.0,0.00235,0.0,0.08512481636695435,0.0,5.173328,,1.0,0.0,0.067889,0.0,,,,
AA,LONG,0.5901468981292961,5.901468981292961,0.0,3.5409,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.45,0.0,0.0,0.0,0.0,7.8961882230083456,5.0,0.7,99.0,0.002073,0.0,0.5772898558034913,0.0,13.485066,,1.0,0.0,0.542359,0.0,,,,
KWEB,LONG,0.580720027361098,5.807200273610979,0.0,3.4843,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.852630046019747,10.0,1.0,4.744851771537072,0.001279,0.000362,57257.1577358051,28156.8405399521,0.806285,2.551377,1.0,1.0,0.683277,0.343717,,,,
