ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol
OKTA,LONG,0.7003385745822728,7.003385745822728,0.0,4.202,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,60260.75328769116,16.0,1.0,1.394422670294019,0.002364,0.003336,98396.38007545544,32074.65588435581,2.54987,1.763832,0.0,2.0,0.506149,0.626186,,,,,,
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.20448523061826,11.0,1.0,99.0,0.00252,9.7e-05,2.3792281435110025,0.006200085679675224,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.76,0.0,0.0,0.0,0.0
SILJ,LONG,0.6137944561100269,6.137944561100269,0.0,3.6828,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,44881.40446306719,7.0,1.0,99.0,0.00217,0.000366,19455.33906957135,7.5087839002446035,2.795005,0.081774,0.0,0.0,0.000578,0.366231,0.0,0.0,0.0,0.0,0.0,0.0
LMT,LONG,0.60886755721566,6.0886755721566,0.0,3.6532,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,1.2005552021814874,13.0,1.0,0.6629420743349838,0.000538,0.000571,35105.94981579911,176515.9238636593,60.041193,120.166667,2.0,0.0,0.702742,0.230338,,,,,,
NVDL,LONG,0.6019189490332768,6.019189490332768,0.0,3.6115,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,330059.33501171705,3.0,1.0,99.0,0.000644,0.000153,175459.77548358147,29.313918855291018,300.0,2.380952,1.0,0.0,3e-06,0.0,0.0,0.48,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.007746,0.0,393465.6162606326,0.0,100.671141,,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0
OXY,LONG,0.595787278592383,5.95787278592383,0.0,3.5747,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,442.36819043559257,29.0,1.0,3.5577142185031962,0.005699,0.000187,9360.249977081034,35518.1352210346,0.396722,0.358177,0.0,0.0,0.384099,0.000759,0.0,0.0,0.0,0.0,0.0,0.0
VSAT,LONG,0.5933333333333333,5.933333333333333,5.2,5.8667,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",6.7,NEUTRAL,retest_and_confirm,,,70.0,36.0,43.38,26.26,47569.0,6002.0,0.126,28810.0,15901.0,8860.0,27.502740993889624,5.0,1.0,99.0,0.01295,0.003782,1.2219503104384122,0.00793849764815298,21.275862,0.52014,0.0,0.0,0.030581,0.54711,1.89,0.77,0.0,1.4,0.83,0.3
UNH,LONG,0.5684306417875263,5.684306417875264,0.0,3.4106,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,243241.64621053074,10.0,1.0,0.5522681827140792,0.00035,0.000661,300270.4055723056,135925.9934623836,58.362683,10.917602,1.0,1.0,9e-06,0.112237,,,,,,
EXPE,LONG,0.5537466572736567,5.537466572736567,0.0,3.3225,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,16.7578313716035,12.0,1.0,3.1091618744429903,0.001133,0.000304,0.4596455695387359,0.2956716878056289,1.824572,2.47538,1.0,2.0,0.772496,0.009915,0.0,0.83,0.0,0.0,0.0,0.0
