ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
DELL,LONG,0.8794349294532133,8.794349294532132,0.0,5.2766,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,68.49179539911174,23.0,1.0,99.0,0.002687,0.00014,94898.03207228647,2869.979065124985,9.811602,8.185694,6.0,0.0,0.539546,0.618741
OXY,LONG,0.8055185791485545,8.055185791485545,0.0,4.8331,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,644.0541806245656,27.0,1.0,4.581471847170822,0.00248,0.000442,49387.74105490428,25602.227606796478,5.648963,11.353,3.0,1.0,0.484931,0.601279
ONON,LONG,0.7643211135135637,7.643211135135637,0.0,4.5859,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.924142394250974,6.0,1.0,10.944991146274305,0.004805,0.000163,63854.25197841375,29170.53614983958,714.603357,3.291339,1.0,1.0,0.396962,0.0
HII,LONG,0.7559638921720427,7.559638921720428,0.0,4.5358,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.4055713548497293,14.0,1.0,0.6900285898888104,0.00333,0.004783,78238.09409031853,85037.88310741475,2.655894,2.789836,0.0,5.0,0.782224,0.307588
GDX,LONG,0.7009801467063899,7.009801467063898,0.0,4.2059,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.07,0.0,0.0,0.0,0.0,4.746797465820578,11.0,1.0,1.9192245868485267,0.000578,0.000262,125008.25340153191,113985.84873899735,6.488787,0.420135,2.0,0.0,0.671924,0.524098
FIG,LONG,0.6543988709540797,6.5439887095407965,0.0,3.9264,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.05,0.0,0.0,0.0,0.0,301.99587407592674,5.0,1.0,99.0,0.001584,0.0,33697.549143545344,0.0,181.983051,,0.0,0.0,0.506257,0.0
CTRA,LONG,0.6526178894545265,6.526178894545264,0.0,3.9157,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,56.64197141965226,2.0,1.0,99.0,0.006972,0.0,21487.502770139123,0.0,134.233264,,0.0,0.0,0.017348,0.0
IBIT,LONG,0.6404990639633139,6.404990639633139,0.0,3.843,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.59,0.0,0.0,0.0,0.0,7.553913915047916,19.0,1.0,20.69225002003308,0.000639,0.000173,80049.20498700508,10831.967221864059,0.465185,0.171179,8.0,1.0,0.475847,0.350656
CRWD,LONG,0.6290208398673106,6.290208398673106,0.0,3.7741,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.44,0.0,0.0,0.0,0.0,334.6773485151875,8.0,1.0,99.0,0.001376,0.0,197072.12234790486,0.0,0.503807,,2.0,0.0,0.474773,0.0
UVIX,LONG,0.6282286086886444,6.282286086886444,6.29,5.8681,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",4.2,POSITIVE,retest_and_confirm,879366.49,9.3,10.0,5.0,7.64,46.18,188737.0,100413.0,0.532,170899.0,64249.0,54002.0,,,2.53,0.4,0.0,1.4,1.82,0.14,907.9150069874215,4.0,1.0,99.0,0.001903,8.7e-05,205224.62102013186,111.36101326925302,1.853419,0.408163,1.0,0.0,0.013233,0.0
