ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
DELL,LONG,0.8782694758283893,8.782694758283894,0.0,5.2696,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,63.90696830913915,22.0,1.0,99.0,0.002623,0.00014,102089.47620144667,3133.3016849581536,10.267465,8.185694,6.0,0.0,0.50675,0.618741
OXY,LONG,0.8124571122025669,8.12457112202567,0.0,4.8747,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17196.23456998514,28.0,1.0,5.287650647521799,0.002741,0.00042,48783.94999898613,27678.04829646795,5.166058,0.27156,3.0,1.0,0.484931,0.539821
ONON,LONG,0.7678907295580785,7.678907295580784,0.0,4.6073,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.9241423942509743,6.0,1.0,10.944991146274305,0.004805,0.000163,69712.9249989819,31846.953582375583,714.603357,3.291339,1.0,1.0,0.396962,0.0
HII,LONG,0.7595335180557781,7.595335180557781,0.0,4.5572,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,3.4055713548497297,14.0,1.0,0.6900285898888104,0.00333,0.004783,85416.49485183049,92840.16934602047,2.655894,2.789836,0.0,5.0,0.782224,0.307588
INTU,LONG,0.7051740554007289,7.051740554007289,0.0,4.231,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.81,0.0,0.0,0.0,0.0,2.5569629652041046,19.0,1.0,1.122323103903241,0.001681,0.000178,12010.868489077437,29965.01778539187,8.818829,0.606123,2.0,2.0,0.729306,0.346984
GDX,LONG,0.7045497889322665,7.0454978893226645,0.0,4.2273,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.746797465820578,11.0,1.0,1.9192245868485267,0.000578,0.000262,136477.849534292,124444.13140683726,6.488787,0.420135,2.0,0.0,0.671924,0.524098
FIG,LONG,0.6579684391044341,6.579684391044341,0.0,3.9478,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.05,0.0,0.0,0.0,0.0,301.99587407592685,5.0,1.0,99.0,0.001584,0.0,36789.32323704344,0.0,181.983051,,0.0,0.0,0.506257,0.0
CTRA,LONG,0.6561873999803969,6.561873999803969,0.0,3.9371,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,56.64197141965231,2.0,1.0,99.0,0.006972,0.0,23458.996427309437,0.0,134.233264,,0.0,0.0,0.017348,0.0
UVIX,LONG,0.6282286086886444,6.282286086886444,6.34,5.8831,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, trend_aligned","confirmation_volume, room_to_target",4.2,POSITIVE,retest_and_confirm,894997.42,9.31,10.0,5.0,7.31,46.35,188737.0,100413.0,0.532,170899.0,64249.0,54002.0,,,2.54,0.38,0.0,1.4,1.85,0.17,907.9150069874219,4.0,1.0,99.0,0.001903,8.7e-05,224054.12591721266,121.5784654164376,1.853419,0.408163,1.0,0.0,0.013233,0.0
XOP,LONG,0.6115096952040584,6.1150969520405845,0.0,3.6691,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,234.89917437458905,5.0,1.0,99.0,0.000624,0.0,47301.36705209105,0.0,10.533067,,3.0,0.0,0.012472,0.0
