ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
GOOGL,LONG,0.6883566114493204,6.883566114493203,0.0,4.1301,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.7,0.0,0.0,0.0,0.0,0.8625340862883084,29.0,1.0,18.533034513574908,0.001494,7.8e-05,334493.4628327124,243654.7422891824,1.470899,4.243188,5.0,1.0,0.900658,0.091392
OKTA,LONG,0.6865613050111574,6.865613050111574,0.0,4.1194,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,60261.463121258035,15.0,1.0,1.3944226707566185,0.002364,0.003239,70119.42885417744,25142.817283704375,2.54987,1.846308,0.0,1.0,0.506149,0.626186
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.81,0.0,0.0,0.0,0.0,63.20448523061825,11.0,1.0,99.0,0.00252,9.7e-05,1.6954904073589123,0.004418317689862222,4.988722,0.513274,1.0,0.0,0.068244,0.0
RBLX,LONG,0.637029342324928,6.37029342324928,0.0,3.8222,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,7355.094272652947,12.0,1.0,99.0,0.003187,0.003979,12868.412279338661,2.250096033897721,15.414206,0.920707,1.0,0.0,2.6e-05,0.812829
META,LONG,0.6357951116224206,6.357951116224206,0.0,3.8148,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.28,0.0,0.0,0.0,0.0,9.775354500342214,9.0,1.0,17.856655858823487,0.000373,5.8e-05,328326.9308673025,36773.61914381822,5.347616,0.41062,1.0,0.0,0.242566,0.334869
BA,LONG,0.6343300865506244,6.343300865506244,0.0,3.806,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3929.4461068225696,13.0,1.0,0.8228789532881053,0.001793,0.000367,3980.504154388896,7739.664043628049,3.510413,0.544513,3.0,2.0,0.002437,0.497577
SILJ,LONG,0.6003390332590238,6.0033903325902385,0.0,3.602,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3553.833860492756,6.0,1.0,99.0,0.001954,0.000366,17330.277322145714,5.350924882306014,3.399952,0.081774,0.0,0.0,0.000572,0.366231
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.83,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.007746,0.0,280392.2691545704,0.0,100.671141,,0.0,0.0,0.0,0.0
PRAX,LONG,0.5969619107842662,5.969619107842662,0.0,3.5818,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.77,0.0,0.0,0.0,0.0,0.0,2.0,1.0,99.0,0.002648,0.0,122485.53892726802,0.0,40.0,,2.0,0.0,0.468206,0.0
NVDL,LONG,0.588141606264512,5.881416062645119,0.0,3.5288,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.51,0.0,0.0,0.0,0.0,330059.33501171705,3.0,1.0,99.0,0.000644,0.000153,125036.50270829331,20.8897445824172,300.0,2.380952,1.0,0.0,3e-06,0.0
