ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
GOOGL,LONG,0.7100135074447322,7.100135074447323,0.0,4.2601,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.73,0.0,0.0,0.0,0.0,0.8090738832081984,30.0,1.0,19.490535795223423,0.001535,7.8e-05,303343.6751657414,217890.95471460323,1.629451,4.243188,6.0,1.0,0.905539,0.091392
RBLX,LONG,0.6959206772672087,6.959206772672087,0.0,4.1755,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,15062.901286549153,13.0,1.0,99.0,0.003286,0.003979,18859.221168117063,2.0121733253343845,12.345711,0.920707,1.0,0.0,0.488153,0.812829
BA,LONG,0.6894303273016955,6.894303273016956,0.0,4.1366,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5746.763694912398,14.0,1.0,2.1228225155841347,0.001825,0.000367,8162.58323903608,6921.280381380346,3.126081,0.544513,3.0,2.0,0.387634,0.497577
UNH,LONG,0.6772827407770811,6.77282740777081,0.0,4.0637,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,27.78498282306673,14.0,1.0,1.1166100207328744,0.000561,0.000701,172725.5666505388,85937.47714730953,23.475651,9.720047,2.0,1.0,0.556866,0.204596
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.75,0.0,0.0,0.0,0.0,63.20448523061822,11.0,1.0,99.0,0.00252,9.7e-05,1.5162110948385468,0.00395112958045325,4.988722,0.513274,1.0,0.0,0.068244,0.0
CTRA,LONG,0.6000000000000001,6.000000000000001,5.53,5.559,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.5,NEUTRAL,trend_continuation,,,34.0,20.0,0.79,40.71,59291.0,12596.0,0.212,22895.0,20538.0,28454.0,2.64,0.14,0.18,1.4,1.14,0.03,0.0,1.0,1.0,99.0,0.007443,0.0,2718732.1564527834,0.0,268.421053,,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.79,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.007746,0.0,250743.89542631034,0.0,100.671141,,0.0,0.0,0.0,0.0
SILJ,LONG,0.5957947025735373,5.957947025735373,0.0,3.5748,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3553.83386049276,6.0,1.0,99.0,0.001954,0.000366,15497.792637704864,4.785123902197684,3.399952,0.081774,0.0,0.0,0.000572,0.366231
AAPL,LONG,0.5931990703210002,5.931990703210001,0.0,3.5592,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.6,0.0,0.0,0.0,0.0,1.4208453309815505,31.0,1.0,3.341008197735226,0.000403,0.000131,149946.37174257764,81601.0469502872,1.994168,0.346366,1.0,1.0,0.914958,0.840206
PRAX,LONG,0.5924173419213293,5.924173419213293,0.0,3.5545,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.73,0.0,0.0,0.0,0.0,0.0,2.0,1.0,99.0,0.002648,0.0,109534.05119412702,0.0,40.0,,2.0,0.0,0.468206,0.0
NVDL,LONG,0.5835970366006987,5.835970366006987,0.0,3.5016,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.0,0.0,330059.33501171676,3.0,1.0,99.0,0.000644,0.000153,111815.27883807854,18.680885699343026,300.0,2.380952,1.0,0.0,3e-06,0.0
UUUU,LONG,0.5804061555986859,5.804061555986859,0.0,3.4824,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,110711.25368481028,5.0,1.0,99.0,0.002111,0.00208,13076.560198505029,3.7083118721804453,7.204763,0.535803,1.0,0.0,0.000109,0.021252
DAL,LONG,0.5755418963909846,5.755418963909847,0.0,3.4533,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.74,0.0,0.0,0.0,0.0,19879.31586125147,6.0,1.0,99.0,0.0008,7e-05,103733.81963979146,5.2181785512039776,1.769263,0.398805,0.0,0.0,0.65971,0.487487
LMT,LONG,0.5666075138194575,5.666075138194575,0.0,3.3996,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,1.0483596135644744,12.0,1.0,0.6629420737344237,0.000473,0.000571,24857.74907132158,112488.33068308013,66.399306,120.166667,2.0,0.0,0.702742,0.230338
EXPE,LONG,0.5537466572736567,5.537466572736567,3.07,4.9297,price_validation_failed,"ema_pullback, momentum_aligned, not_extended","confirmation_volume, room_to_target, trend_aligned",6.2,NEUTRAL,ema_pullback,,,270.0,230.0,13.12,3.64,28289.0,29894.0,1.057,16914.0,15325.0,25944.0,0.0,0.75,0.17,1.2,0.95,0.0,315674.09567315335,13.0,1.0,5.0981267828854145e-05,0.001133,0.000378,0.29291840470564423,9192.973566337543,1.824572,2.008145,1.0,2.0,0.772496,1.6e-05
