ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
GOOGL,LONG,0.7100135074447322,7.100135074447323,0.0,4.2601,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.67,0.0,0.0,0.0,0.0,0.8090738832081983,30.0,1.0,19.490535795223423,0.001535,7.8e-05,275216.87941390317,197687.5521676995,1.629451,4.243188,6.0,1.0,0.905539,0.091392
RBLX,LONG,0.6919639192313798,6.919639192313798,0.0,4.1518,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,15062.901286549179,13.0,1.0,99.0,0.003286,0.003979,17110.54629779203,1.8255995056954737,12.345711,0.920707,1.0,0.0,0.488153,0.812829
BA,LONG,0.685473857988439,6.85473857988439,0.0,4.1128,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5746.7636949124035,14.0,1.0,2.1228225155841343,0.001825,0.000367,7405.727796290146,6279.521691267807,3.126081,0.544513,3.0,2.0,0.387634,0.497577
UNH,LONG,0.6733257864498141,6.733257864498141,0.0,4.04,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,27.78498282306673,14.0,1.0,1.1166100207328744,0.000561,0.000701,156710.01355998634,77969.13607070738,23.475651,9.720047,2.0,1.0,0.556866,0.204596
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.69,0.0,0.0,0.0,0.0,63.20448523061827,11.0,1.0,99.0,0.00252,9.7e-05,1.3756241524607509,0.003584770813824158,4.988722,0.513274,1.0,0.0,0.068244,0.0
CTRA,LONG,0.6000000000000001,6.000000000000001,5.57,5.571,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.5,NEUTRAL,trend_continuation,,,34.0,20.0,0.59,40.83,59291.0,12596.0,0.212,22895.0,20538.0,28454.0,2.64,0.11,0.15,1.4,1.2,0.07,0.0,1.0,1.0,99.0,0.007443,0.0,2466644.408037654,0.0,268.421053,,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.82,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.007746,0.0,227494.28480290543,0.0,100.671141,,0.0,0.0,0.0,0.0
META,LONG,0.5925675122799998,5.925675122799998,0.0,3.5554,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.24,0.0,0.0,0.0,0.0,0.9200604838386529,12.0,1.0,2.355766671636319,0.000433,0.000142,250879.93521205545,212992.17637525525,4.041428,3.950867,1.0,1.0,0.396814,0.503501
SILJ,LONG,0.5918379923282077,5.918379923282076,0.0,3.551,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3553.8338604927544,6.0,1.0,99.0,0.001954,0.000366,14060.797955396432,4.341435064542456,3.399952,0.081774,0.0,0.0,0.000572,0.366231
PRAX,LONG,0.5884604014747548,5.884604014747548,0.0,3.5308,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.64,0.0,0.0,0.0,0.0,0.0,2.0,1.0,99.0,0.002648,0.0,99377.77586013405,0.0,40.0,,2.0,0.0,0.468206,0.0
