ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
THC,LONG,0.5185456812916791,5.185456812916791,0.0,3.1113,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,3,1.0,99.0,5.9e-05,0.000157,10650.781532786106,3.3293231613540965e-29,46.310185,280.25,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.578988,0.563689,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
ROK,LONG,0.5065163738543761,5.065163738543761,7.23,5.8016,weak_relative_strength (-3.7% vs SPY),"confirmation_volume, engulfing_at_support, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.5,NEUTRAL,unknown,,,560.0,410.0,18.21,13.46,9378.0,4709.0,0.502,7463.0,1152.0,5472.0,99.2,0.476,1,1.0,99.0,4.4e-05,0.0,1.4117055240187385e-19,0.0,7.156425,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342728,0.0,0.0,0.0,False,1.51,0.81,1.0,1.6,1.93,0.38,False,consolidation_break,3.0,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-28,2026-07-28,,,,
W,LONG,0.4768842446191536,4.7688424461915355,6.53,5.3834,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.2,NEUTRAL,ema_pullback,,,100.0,65.0,6.85,30.55,78118.0,84334.0,1.08,40933.0,12779.0,108740.0,76.0,0.801,1,0.7,99.0,7.2e-05,0.0,642756.2790211424,0.0,42.1,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.6e-05,0.0,0.588814,0.0,0.0,0.0,False,1.71,0.57,1.0,1.2,1.56,0.5,False,default,2.5,False,1.0,0.4768842446191536,0.4768842446191536,n/a,2026-07-28,2026-07-28,,,,
MOH,LONG,0.4743140010618972,4.743140010618972,2.65,4.2266,price_validation_failed,"not_extended, retest_and_confirm","confirmation_volume, momentum_aligned, room_to_target, trend_aligned",5.3,NEUTRAL,retest_and_confirm,,,250.0,185.0,25.97,6.78,16176.0,17444.0,1.078,9795.0,6987.0,16838.0,11.4,0.443,1,1.0,99.0,0.000117,0.0,2.2606735798848015e-11,0.0,7.495327,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.366181,0.0,0.0,0.0,False,0.0,0.36,0.0,1.4,0.57,0.32,False,default,2.5,False,1.0,0.4743140010618972,0.4743140010618972,n/a,2026-07-28,2026-07-28,,,,
DXYZ,LONG,0.40999866021660414,4.099986602166041,0.0,2.46,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2,1.0,99.0,0.005645,0.006207,1.1703085913552321e-17,6.768240348888466e-54,8.845815,11.386364,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.635401,0.397718,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
RCL,LONG,0.40504621197802976,4.050462119780297,7.27,5.4662,poor_rr (0.3:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.3,NEUTRAL,trend_continuation,,,330.0,260.0,3.28,18.63,30203.0,67405.0,2.232,18901.0,43893.0,34814.0,35.2,0.462,1,1.0,99.0,3.3e-05,0.0,184551.90037739815,0.0,3.650852,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.348725,0.0,0.0,0.0,False,1.57,0.62,1.0,1.4,1.83,0.85,False,sustained_trend,5.0,False,1.0,0.40504621197802976,0.40504621197802976,n/a,2026-07-28,2026-07-28,319.54,281.19,330.0,0.27
CLX,LONG,0.402747020594018,4.02747020594018,6.51,4.8667,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.5,NEUTRAL,trend_continuation,,,105.0,90.0,5.51,9.56,49068.0,38151.0,0.778,31031.0,24295.0,31893.0,97.1,0.4,2,1.0,99.0,5.6e-05,0.0,6.075892175220621e-10,0.0,3.506181,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.207586,0.0,0.0,0.0,False,1.52,0.63,1.0,1.4,1.55,0.41,False,consolidation_break,3.0,False,1.0,0.402747020594018,0.402747020594018,n/a,2026-07-28,2026-07-28,,,,
GLW,LONG,0.3944049233301969,3.944049233301969,3.31,4.165,price_validation_failed,"bounce_and_fail, confirmation_volume, room_to_target","momentum_aligned, not_extended, trend_aligned",6.0,NEGATIVE,bounce_and_fail,-11514691.88,,160.0,120.0,31.28,1.54,252610.0,269496.0,1.067,182166.0,132188.0,207752.0,88.1,0.849,1,1.0,99.0,4e-05,0.0,3975513.7729209624,0.0,5.827515,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.1e-05,0.0,0.650764,0.0,0.0,0.0,False,0.0,0.0,1.0,1.0,0.31,1.0,True,default,2.5,False,1.0,0.3944049233301969,0.3944049233301969,n/a,2026-07-28,2026-07-28,,,,
TER,LONG,0.37866984159389394,3.7866984159389396,0.0,2.272,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,8,1.0,99.0,8.1e-05,8.8e-05,24999.3128053328,0.18091646049439775,9.014815,3.184336,0,1,0.0,0.000753,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.589866,0.437379,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
IBM,LONG,0.3625070439161679,3.625070439161679,5.45,4.3875,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, pullback_to_support, room_to_target",trend_aligned,4.7,POSITIVE,pullback_to_support,19224465.59,225.38,300.0,200.0,33.25,11.17,431587.0,312044.0,0.723,261774.0,167655.0,314202.0,69.8,0.428,8,1.0,0.0007756699822396521,4.6e-05,1.7e-05,0.001676747346701497,3.6027936817925545,133.733538,1.907105,1,0,1.6e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.384863,0.338019,0.0,0.0,False,0.0,0.69,1.0,1.4,1.92,0.44,False,consolidation_break,3.0,False,1.0,0.3625070439161679,0.3625070439161679,n/a,2026-07-28,2026-07-28,,,,
