ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol
OKTA,LONG,0.6952370403577378,6.952370403577378,0.0,4.1714,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,60261.463121257955,15.0,1.0,1.3944226707566185,0.002364,0.003239,86795.05556782968,31122.21903303336,2.54987,1.846308,0.0,1.0,0.506149,0.626186,,,,,,
GOOGL,LONG,0.6883566114493204,6.883566114493203,0.0,4.1301,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.8625340862883083,29.0,1.0,18.533034513574908,0.001494,7.8e-05,414041.85926867276,301600.10202500236,1.470899,4.243188,5.0,1.0,0.900658,0.091392,0.0,0.68,0.0,0.0,0.0,0.0
CIEN,LONG,0.6708094598377494,6.708094598377494,5.43,6.363,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.9,NEUTRAL,trend_continuation,,,450.0,250.0,10.46,38.63,27254.0,19590.0,0.719,19985.0,11723.0,15136.0,4565439.045355727,4.0,1.0,99.0,0.0011,0.0,201648.24955579307,0.0,4.15161,,1.0,0.0,4e-06,0.0,2.04,0.02,0.0,1.4,1.64,0.33
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.20448523061825,11.0,1.0,99.0,0.00252,9.7e-05,2.0987076838215266,0.005469070921918514,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.68,0.0,0.0,0.0,0.0
BA,LONG,0.6428795933746126,6.428795933746127,0.0,3.8573,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,2157.7797174101474,12.0,1.0,0.0020054547672038966,0.001768,0.000367,13.72345809397517,9580.291535746142,3.933364,0.544513,3.0,2.0,0.420727,0.497577,0.0,0.0,0.0,0.0,0.0,0.0
VST,LONG,0.6217359586627755,6.217359586627755,0.0,3.7304,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,1150942.6289309238,8.0,1.0,99.0,0.001034,0.000132,38073.40589875097,0.09930629580923946,2.476883,0.646526,0.0,1.0,0.472882,0.0,0.0,0.4,0.0,0.0,0.0,0.0
RBLX,LONG,0.6147738168550895,6.1477381685508945,0.0,3.6886,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,22.006209694745504,11.0,1.0,0.07509936348626683,0.003067,0.003979,0.5577796405732229,2.785208229537236,20.344828,0.920707,1.0,0.0,0.5534,0.812829,,,,,,
META,LONG,0.6090813689642509,6.090813689642509,0.0,3.6545,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,8286.948570590152,9.0,1.0,15.473187890138488,0.000343,7.3e-05,422673.02640844695,34145.59990881297,6.079949,0.322092,1.0,0.0,0.126053,0.334992,0.0,0.21,0.0,0.0,0.0,0.0
SILJ,LONG,0.6090144292308916,6.090144292308915,0.0,3.6541,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,3553.833860492761,6.0,1.0,99.0,0.001954,0.000366,21451.720411323953,6.623468417931422,3.399952,0.081774,0.0,0.0,0.000572,0.366231,0.0,0.0,0.0,0.0,0.0,0.0
PRAX,LONG,0.6056376937657463,6.056376937657463,0.0,3.6338,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,2.0,1.0,99.0,0.002648,0.0,151614.7426065983,0.0,40.0,,2.0,0.0,0.468206,0.0,0.0,0.72,0.0,0.0,0.0,0.0
