ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,2.8864492790174565,0.0,5,0,5.772898558034913,5,102.0,13.485066,13.485066,,5,1,0,1.3209589610747698,0.0,1.3209589610747698,0.0,5,0,7.8961882230083456,824919.5,0.0,2.8864492790174565,LONG,0.5772898558034913,0.0,0.542359,0.0,99.0,0.7,397921821.79244995,0.002073,0.0,0.5901468981292961,0.15857142857142859
AAL,0.0,76765.3718135558,0,1,76765.3718135558,1,31.0,8.519512,,8.519512,1,0,0,0.0,0.0,0.0,76765.3718135558,0,1,0.0,0.0,117432.0,-76765.3718135558,SHORT,0.0,76765.3718135558,0.0,0.0,0.0,1.0,979922105.9380817,0.0,0.00012,0.05,0.3184182712526017
AAOI,3787.165835172269,0.0,1,0,3787.165835172269,1,53.0,1.506494,1.506494,,1,0,0,0.0,0.0,3787.165835172269,0.0,1,0,0.0,77500.0,0.0,3787.165835172269,LONG,3787.165835172269,0.0,0.0,0.0,99.0,1.0,1261263606.5364838,6.1e-05,0.0,0.11038964,0.05
ABVX,0.0,45541.124189139955,0,3,45541.14559602529,3,118.333333,0.335052,,0.335052,3,0,0,0.0,0.0,0.0,45541.10278225462,0,3,2099804.9414514266,0.0,136895.0,-45541.124189139955,SHORT,0.0,15180.374729713318,0.0,0.0,0.0,0.7,115146452.77328491,0.0,0.001189,0.15857142857142859,0.3742258559277811
ACLS,30093.57480996826,0.0,1,0,30093.57480996826,1,52.0,,,,1,1,0,30093.57480996826,0.0,30093.57480996826,0.0,1,0,0.0,64162.0,0.0,30093.57480996826,LONG,30093.57480996826,0.0,0.0,0.0,99.0,1.0,62628822.698783875,0.001024,0.0,0.26874054687930704,0.05
ADBE,146173.27891622132,317331.93397648656,9,10,609677.2545205732,19,86.789474,0.271859,0.236731,0.303474,19,1,1,20512.305667213408,67957.95356844582,87499.1280447618,97644.38373753465,9,10,141.44577011354198,846270.5,1826240.0,-171158.65506026524,SHORT,16241.475435135702,31733.193397648654,0.401401,0.692296,0.46063211188525505,1.0,1653290449.32518,0.000512,0.001105,0.4549308964012699,0.5685761374581533
ADMA,0.005353073596375367,0.0,1,0,0.005353073596375367,1,30.0,0.871142,0.871142,,1,0,0,0.0,0.0,0.005353073596375367,0.0,1,0,0.0,119000.0,0.0,0.005353073596375367,LONG,0.005353073596375367,0.0,0.0,0.0,99.0,1.0,59599081.56917572,0.001997,0.0,0.2536654770507559,0.05
AEIS,0.0,0.0018690450496699812,0,1,0.0018690450496699812,1,30.0,1.525,,1.525,1,0,0,0.0,0.0,0.0,0.0018690450496699812,0,1,0.0,0.0,54730.0,-0.0018690450496699812,SHORT,0.0,0.0018690450496699812,0.0,0.0,0.0,1.0,216104833.20007324,0.0,0.000253,0.05,0.15535667632468808
ALGN,1725.9683972233906,50433.101278415175,1,1,52159.069675638566,2,42.0,40.333333,40.333333,,2,1,1,1725.9683972233906,50433.101278415175,1725.9683972233906,50433.101278415175,1,1,29.220176545264785,65319.0,79600.0,-48707.132881191785,SHORT,1725.9683972233906,50433.101278415175,0.0,0.0,0.03422292806653329,1.0,266448378.69918823,0.000245,0.000299,0.38458715518817194,0.33978998074310246
AMD,343695.7584799725,231648.05414421725,6,3,915109.1869890203,9,60.444444,0.087219,0.091051,0.079554,9,0,0,0.0,0.0,180294.08253868547,123478.00170254681,6,3,3.6023554052729096,519690.0,299505.0,112047.70433575523,LONG,57282.62641332875,77216.01804807242,0.475425,0.466959,1.4836980165868245,1.0,7150193424.814453,7.3e-05,4.2e-05,0.37263910219829366,0.34417713331141436
APD,0.0,1.155017242119495,0,2,2.31003448423899,2,90.0,1.459079,,1.459079,2,0,0,0.0,0.0,0.0,0.7273594051657268,0,2,0.5879594515675887,0.0,178500.0,-1.155017242119495,SHORT,0.0,0.5775086210597475,0.0,0.370261,0.0,1.0,435822852.42752075,0.0,0.00041,0.07547824290126218,0.2379195725701737
APP,42824.2472954503,1.713124106572226,4,3,42826.02498415872,7,80.571429,7.935991,2.082784,15.740268,7,1,0,0.021759771998524382,0.0,42824.2006841062,1.0514546308319686,4,3,515061.0639083549,180061.5,264758.0,42822.53417134373,LONG,10706.061823862576,0.5710413688574086,1e-06,0.386236,99.0,1.0,2406405714.754944,7.5e-05,0.00011,0.3584238331421793,0.3808783045801207
