ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
BA,14574.752524496866,14954.378039090543,10,7,33507.36464195026,17,68.235294,4.834135,2.803661,7.734813,17,5,1,3977.2809123541897,210.53462075924094,8266.109124138222,14325.439400476027,10,7,28.25189330901615,2807267.0,717032.0,-379.6255145936775,SHORT,1457.4752524496866,2136.3397198700777,0.432847,0.042057,0.9746144230404407,1.0,1440513031.847644,1e-05,1e-05,5.244969457142856,0.4225025,0.5244969457142856,"call_wall_clear, confirmation_volume, gamma_tailwind, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, structural_breakout, trend_aligned"
AA,11741.085930615583,19.970709402550575,5,1,23502.142570633718,6,90.0,11.293747,13.485066,0.337151,6,1,0,5373.208109194623,0.0,5373.208109194623,19.970709402550575,5,1,7.836895248908036,824919.5,109395.0,11721.115221213033,LONG,2348.217186123117,19.970709402550575,0.542359,0.0,99.0,1.0,394294243.08651024,3e-05,0.0,4.274379047619047,0.18,0.42743790476190474,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
SMH,99533.3844459224,14030.300921552007,4,2,127593.98628902642,6,62.666667,8.754876,12.866619,0.53139,6,0,0,0.0,0.0,32244.811894373164,7898.256926216981,4,2,0.7142695953133323,2067602.0,306775.0,85503.08352437039,LONG,24883.3461114806,7015.1504607760035,0.67604,0.437057,7.094173175789034,1.0,3997509441.3496094,2.5e-05,4e-06,3.77354594114814,0.1340131091796394,0.377354594114814,"confirmation_volume, ema_pullback, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned"
SQQQ,15514.887337334047,0.0,2,0,15514.887337334047,2,45.5,5.231884,5.231884,,2,1,0,11373.835070460631,0.0,11373.835070460631,0.0,2,0,2.7466050504714157,327430.0,0.0,15514.887337334047,LONG,7757.443668667023,0.0,0.266908,0.0,99.0,1.0,4803571705.837501,3e-06,0.0,3.7463337856809176,0.1690195521870947,0.37463337856809176,"bounce_and_fail, call_wall_clear, healthy_pullback_volume, near_term_oi_dominant, not_extended, trend_aligned","bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout"
AAOI,7828.115571648167,4589.607914735592,1,5,17007.33140111935,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,7828.115571648167,1804.7921476638592,1,5,7.6569405668112935,304920.0,656096.5,3238.507656912575,LONG,7828.115571648167,917.9215829471184,0.0,0.606766,1.7056174987224688,1.0,1132609116.2982662,7e-06,4e-06,3.4822823401568135,0.2695319047619048,0.34822823401568137,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
MU,58201.91961515711,69243.69586043758,8,4,158740.7068654449,12,61.666667,1.263831,1.111049,1.569395,12,1,2,4265.343514409043,19413.876918238406,15929.41618634784,39023.675973641824,8,4,2.1274330136032704,1171992.5,1410716.0,-11041.776245280475,SHORT,7275.239951894639,17310.923965109396,0.726308,0.43643,0.8405374509827515,1.0,16277594132.928183,4e-06,4e-06,3.446707000891607,0.3458801325346445,0.34467070008916073,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
VSAT,320.22552165916284,3.120555961466759,2,3,324.1357152672739,5,73.4,10.898001,21.275862,0.52014,5,0,0,0.0,0.0,310.4327076738532,1.4132682043412916,2,3,27.50274099388963,947000.0,276600.0,317.10496569769606,LONG,160.11276082958142,1.0401853204889198,0.030581,0.54711,99.0,1.0,72277340.11804962,4e-06,0.0,3.4333433333333336,0.23981149523809525,0.34333433333333335,"call_wall_clear, confirmation_volume, near_term_oi_dominant, not_extended, room_to_target, structural_breakout, trend_aligned","bullish_rejection_wick, bullish_strong_close, healthy_pullback_volume"
RVMD,38.65195264418546,3787.0552863297785,2,7,3828.8409585279537,9,59.333333,8.290608,18.651656,5.330308,9,0,0,0.0,0.0,37.374694803416894,3783.129274609856,2,7,87.23369371397501,4136170.0,558484.0,-3748.403333685593,SHORT,19.32597632209273,541.0078980471112,0.033045,0.001037,0.010206334400162656,1.0,227620338.6020096,0.0,1.7e-05,3.433333333333333,0.41000425,0.3433333333333333,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned"
ULTA,0.012873238669736008,1.009288014707804,1,3,1.1496994405131928,4,35.25,17.689394,4.375,22.127525,4,1,0,0.012873238669736008,0.0,0.012873238669736008,0.8447977583169815,1,3,14.213342340545784,29120.0,343809.0,-0.996414776038068,SHORT,0.012873238669736008,0.3364293382359347,0.0,0.162977,0.012754772158334706,1.0,457845111.9607056,0.0,0.0,3.4250000000000003,0.36116502380952387,0.3425,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
HD,1438.1195470634448,2164.1555019890984,6,3,6892.550170586023,9,67.222222,2.122374,1.805253,2.756615,9,1,0,0.012541418595941494,0.0,1226.5699119128465,1041.3127245700477,6,3,54.6802192791131,876129.5,184907.5,-726.0359549256536,SHORT,239.68659117724079,721.3851673296995,0.147102,0.518836,0.6645176586163304,1.0,1392923174.025,1e-06,2e-06,3.408465252380952,0.3719809238095238,0.3408465252380952,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, structural_breakout, trend_aligned"
GLNG,15672.345829791322,13525.936199928708,4,8,42724.21822964874,12,87.166667,7.421904,20.516249,0.874732,12,1,4,5580.595252565804,7862.60158644595,5580.595252565804,2334.1912454216636,4,8,1.048558981276121,462206.0,352372.5,2146.4096298626137,LONG,3918.0864574478305,1690.7420249910886,0.643921,0.827428,1.158688433697767,1.0,156350828.99401626,0.0001,8.7e-05,3.3681405585529856,0.3112765591886319,0.33681405585529856,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
KRE,110386.89466436833,451.72414063962987,1,2,110916.86121560282,3,63.333333,1.443071,0.988091,1.670561,3,0,0,0.0,0.0,110386.89466436833,373.4817300447678,1,2,707.802683687294,2413049.0,148042.0,109935.1705237287,LONG,110386.89466436833,225.86207031981493,0.0,0.173208,99.0,1.0,1535442951.4671748,7.2e-05,0.0,3.3513541746381925,0.26879613619047615,0.33513541746381925,"bullish_rejection_wick, call_wall_clear, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned"
CORZ,355.60706964235084,93.22758019880173,1,2,525.7625684547621,3,48.333333,5.307531,15.649452,0.13657,3,0,1,0.0,76.92791861360958,355.60706964235084,76.92791861360958,1,2,31.25604198631981,1884000.0,141879.5,262.3794894435491,LONG,355.60706964235084,46.613790099400866,0.0,0.174837,3.8143977231205826,1.0,203396181.87138283,2e-06,0.0,3.3000049999999996,0.21117883333333334,0.3300005,"call_wall_clear, ema_pullback, gamma_tailwind, healthy_pullback_volume, not_extended, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, structural_breakout, trend_aligned"
AAP,45.6468950906033,79.72410967730455,1,1,205.0951144452124,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,45.6468950906033,79.72410967730455,1,1,3.4930791905588454,3752500.0,675000.0,-34.07721458670125,SHORT,45.6468950906033,79.72410967730455,0.0,0.0,0.5725607382179123,1.0,79798906.86510544,1e-06,1e-06,3.3000024999999997,0.18000025,0.33000025,"call_wall_clear, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned"
ALAB,0.42206082733442946,153.48633374841353,1,3,261.86908112745243,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,107.53862572437002,0.42206082733442946,107.53862572437002,1,3,22.792649161265317,46460.0,406490.0,-153.0642729210791,SHORT,0.42206082733442946,51.162111249471174,0.0,0.29936,0.0027498267567342425,1.0,562772275.9501362,0.0,0.0,3.3000000000000003,0.2988838266666667,0.33,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
CMG,0.11660585124204856,8443.185354528534,1,3,8443.418566231017,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,8413.709206099284,0.11660585124204856,6948.265612395116,1,3,283.200619898645,239300.0,477176.0,-8443.068748677291,SHORT,0.11660585124204856,2814.395118176178,0.0,0.177056,1.3810646852553885e-05,1.0,561417946.5549946,0.0,1.5e-05,3.3000000000000003,0.3871744166666667,0.33,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
CVI,1988.597307116109,19.042355193859013,2,2,2025.0971009922598,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,19.042355193859013,1988.0656018379232,17.45743868229169,2,2,955.7590727809793,124595.0,284664.0,1969.55495192225,LONG,994.2986535580545,9.521177596929506,0.000267,0.083231,99.0,1.0,55581414.24045944,3.6e-05,0.0,3.183256333333333,0.36833333333333335,0.3183256333333333,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
RKLB,32861.08462132249,19635.383394469383,3,3,58270.02729186232,6,84.833333,6.859676,1.575785,12.143567,6,1,0,1443.6716792562047,0.0,24821.062780586268,8626.348424619373,3,3,2.6051847368612626,941331.0,610929.5,13225.701226853103,LONG,10953.694873774162,6545.127798156461,0.244667,0.560673,1.6735647051627387,1.0,1354917889.3688622,2.4e-05,1.4e-05,3.0883104282751352,0.3834151677742765,0.3088310428275135,"call_wall_clear, confirmation_volume, ema_pullback, gamma_tailwind, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned"
CRWD,106.33412751356249,138.10040416790045,5,8,301.8906492791744,13,49.153846,0.27397,0.211724,0.312874,13,3,4,53.5737330608106,10.279508572774594,51.95336777479753,125.45567711312061,5,8,106.0583454655219,533799.5,640076.0,-31.766276654337958,SHORT,21.2668255027125,17.262550520987556,0.511414,0.091562,0.7699769465140958,1.0,2120001479.3000002,0.0,0.0,3.0022004761904766,0.32333333333333336,0.30022004761904764,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned"
